node,community
Suspect:S00007,0
Gang:G092,1
Phone:8445662585,0
Vehicle:TN12AB7224,0
Bank:AC22981052,0
Suspect:S03712,0
Family:FG0586,0
Safehouse:SH071,2
Suspect:S02472,2
Gang:G129,3
Phone:8398807003,2
Vehicle:DL72AB4267,2
Bank:AC38854107,2
Suspect:S03233,4
Family:FG0509,2
Safehouse:SH150,2
Suspect:S00177,4
Gang:G122,5
Phone:8644847276,4
Vehicle:KL53AB1715,4
Bank:AC52704903,4
Family:FG0961,4
Safehouse:SH105,2
Suspect:S00047,2
Gang:G100,5
Phone:8722454917,2
Vehicle:TN22AB7209,2
Bank:AC10289289,2
Suspect:S02620,6
Family:FG0842,2
Safehouse:SH196,2
Suspect:S00001,7
Gang:G058,5
Phone:9746317213,7
Vehicle:TN04AB5506,7
Bank:AC42868828,7
Family:FG0472,2
Safehouse:SH044,2
Suspect:S03961,3
Family:FG0615,2
Safehouse:SH147,2
Family:FG0803,0
Safehouse:SH190,0
Suspect:S00820,4
Gang:G005,8
Phone:7843668735,4
Vehicle:KA94AB2252,4
Bank:AC20120010,4
Suspect:S03226,3
Family:FG0409,0
Safehouse:SH097,2
Suspect:S00048,2
Gang:G125,1
Phone:8139038460,2
Vehicle:MH37AB7930,2
Bank:AC84593961,2
Family:FG0591,0
Safehouse:SH111,2
Suspect:S00138,2
Gang:G071,0
Phone:8298229437,2
Vehicle:TN91AB9751,2
Bank:AC26989677,2
Family:FG0503,0
Safehouse:SH170,4
Suspect:S00955,7
Family:FG0671,2
Safehouse:SH031,2
Suspect:S03234,8
Gang:G034,3
Phone:7249889763,8
Vehicle:MH18AB7606,8
Bank:AC65250204,8
Suspect:S03295,0
Family:FG0981,4
Safehouse:SH131,6
Suspect:S00545,0
Gang:G001,3
Phone:7069927882,0
Vehicle:TN21AB8230,0
Bank:AC71272827,0
Family:FG0698,4
Safehouse:SH124,2
Suspect:S00002,8
Gang:G109,8
Phone:7599310825,8
Vehicle:TN87AB9935,8
Bank:AC21668732,8
Suspect:S01182,5
Family:FG0113,4
Safehouse:SH110,2
Suspect:S00921,2
Family:FG0106,4
Safehouse:SH264,2
Suspect:S03046,9
Family:FG0463,4
Safehouse:SH181,2
Suspect:S00004,5
Gang:G140,8
Phone:9585650756,5
Vehicle:TN72AB4257,5
Bank:AC97226012,5
Family:FG0548,2
Safehouse:SH207,0
Suspect:S00024,4
Gang:G041,1
Phone:9752909971,4
Vehicle:KA15AB5808,4
Bank:AC68353204,4
Suspect:S02355,0
Family:FG0927,2
Safehouse:SH250,2
Suspect:S00011,0
Gang:G072,0
Phone:8242911821,0
Vehicle:TN30AB2654,0
Bank:AC61019678,0
Family:FG0513,2
Safehouse:SH047,2
Family:FG0546,2
Safehouse:SH208,2
Suspect:S00053,2
Gang:G064,7
Phone:9900015820,2
Vehicle:KL52AB2964,2
Bank:AC86460539,2
Suspect:S01981,8
Family:FG0693,4
Safehouse:SH053,2
Suspect:S00989,4
Family:FG0673,0
Safehouse:SH265,2
Suspect:S02880,1
Family:FG0229,4
Safehouse:SH225,2
Suspect:S01694,2
Family:FG0571,6
Safehouse:SH082,4
Suspect:S00014,0
Gang:G070,3
Phone:9294113287,0
Vehicle:KL21AB8573,0
Bank:AC60929647,0
Suspect:S03371,2
Family:FG0637,2
Safehouse:SH171,4
Suspect:S00316,4
Gang:G095,10
Phone:8660626647,4
Vehicle:KA24AB9129,4
Bank:AC76776459,4
Family:FG0447,2
Safehouse:SH183,3
Family:FG0606,2
Safehouse:SH168,2
Suspect:S00022,0
Gang:G065,3
Phone:8652563013,0
Vehicle:MH77AB8668,0
Bank:AC81016525,0
Suspect:S00893,8
Family:FG0950,6
Safehouse:SH187,4
Suspect:S00044,2
Gang:G114,5
Phone:7788075126,2
Vehicle:KA60AB5092,2
Bank:AC20117988,2
Family:FG0807,2
Family:FG0953,4
Safehouse:SH247,2
Suspect:S00051,2
Gang:G015,6
Phone:9509023674,2
Vehicle:MH65AB9701,2
Bank:AC31130263,2
Suspect:S02240,6
Family:FG0858,2
Safehouse:SH138,6
Family:FG0282,2
Safehouse:SH107,2
Suspect:S00983,7
Family:FG0737,4
Safehouse:SH175,2
Suspect:S02411,6
Gang:G084,8
Phone:7345769830,6
Vehicle:DL74AB7697,6
Bank:AC13064676,6
Family:FG0386,2
Safehouse:SH221,2
Suspect:S03044,1
Gang:G148,0
Phone:8134729700,1
Vehicle:KA41AB3027,1
Bank:AC34510701,1
Suspect:S00391,2
Family:FG0369,4
Safehouse:SH036,2
Suspect:S00412,2
Gang:G131,20
Phone:7499247083,2
Vehicle:KL92AB9008,2
Bank:AC22205980,2
Family:FG0860,2
Safehouse:SH164,2
Suspect:S01126,8
Family:FG0646,4
Safehouse:SH055,2
Family:FG0796,2
Safehouse:SH004,2
Suspect:S00108,2
Gang:G101,8
Phone:7708861714,2
Vehicle:MH17AB9751,2
Bank:AC13619375,2
Suspect:S00261,2
Family:FG0148,0
Safehouse:SH115,2
Suspect:S00012,4
Gang:G054,3
Phone:8947382419,4
Vehicle:KA21AB7065,4
Bank:AC57683626,4
Family:FG0453,0
Safehouse:SH241,2
Suspect:S02177,0
Family:FG0446,2
Suspect:S00019,4
Gang:G057,8
Phone:8128466620,4
Vehicle:DL55AB7543,4
Bank:AC58586340,4
Suspect:S04769,4
Family:FG0915,1
Safehouse:SH001,2
Suspect:S01137,6
Family:FG0081,4
Safehouse:SH075,2
Suspect:S01419,0
Gang:G040,12
Phone:8692946428,0
Vehicle:KA76AB2737,0
Bank:AC53424580,0
Family:FG0632,2
Safehouse:SH100,2
Suspect:S00003,1
Gang:G130,3
Phone:7136505587,1
Vehicle:TN12AB4582,1
Bank:AC41227216,1
Suspect:S03738,0
Family:FG0745,2
Safehouse:SH179,4
Suspect:S00087,0
Phone:7902727745,0
Vehicle:MH75AB6279,0
Bank:AC72409658,0
Safehouse:SH049,2
Family:FG0515,4
Safehouse:SH299,2
Suspect:S00023,2
Gang:G069,4
Phone:9376087131,2
Vehicle:TN88AB2876,2
Bank:AC82070937,2
Suspect:S01295,0
Family:FG0064,2
Safehouse:SH223,2
Suspect:S00029,2
Gang:G062,6
Phone:7480468219,2
Vehicle:KA40AB4923,2
Bank:AC17774584,2
Safehouse:SH152,2
Suspect:S00080,2
Family:FG0882,2
Safehouse:SH121,4
Suspect:S03219,13
Gang:G004,3
Phone:8480550077,13
Vehicle:MH81AB2192,13
Bank:AC39075869,13
Family:FG0040,2
Safehouse:SH188,2
Suspect:S00282,2
Phone:7919950484,2
Vehicle:KA99AB8967,2
Bank:AC35770506,2
Suspect:S01780,1
Family:FG0398,4
Safehouse:SH101,2
Suspect:S02120,6
Gang:G027,14
Phone:9145052262,6
Vehicle:MH42AB4793,6
Bank:AC41758221,6
Family:FG0173,6
Safehouse:SH046,2
Suspect:S01176,1
Gang:G126,7
Phone:8416612771,1
Vehicle:MH74AB1060,1
Bank:AC79173535,1
Suspect:S01911,15
Family:FG0764,6
Safehouse:SH011,2
Suspect:S03755,7
Family:FG0069,3
Safehouse:SH026,2
Suspect:S01673,6
Gang:G063,1
Phone:9647197407,6
Vehicle:TN40AB4873,6
Bank:AC67512010,6
Suspect:S01838,2
Family:FG0800,6
Safehouse:SH169,2
Safehouse:SH204,2
Family:FG0823,2
Safehouse:SH259,4
Suspect:S00295,4
Family:FG0748,0
Safehouse:SH240,2
Suspect:S00005,3
Phone:8801823908,3
Vehicle:KL58AB5557,3
Bank:AC10872248,3
Suspect:S03859,13
Family:FG0413,4
Suspect:S00008,4
Gang:G138,1
Phone:8477278577,4
Vehicle:DL34AB1711,4
Bank:AC71662963,4
Family:FG0361,6
Safehouse:SH252,2
Family:FG0089,0
Safehouse:SH293,2
Suspect:S00522,2
Gang:G035,3
Phone:9660345628,2
Vehicle:TN46AB1157,2
Bank:AC75043108,2
Suspect:S03197,1
Family:FG0466,2
Safehouse:SH125,2
Suspect:S00006,4
Gang:G056,8
Phone:9998485882,4
Vehicle:MH44AB5552,4
Bank:AC30868105,4
Family:FG0100,2
Safehouse:SH123,2
Suspect:S00813,0
Family:FG0790,4
Safehouse:SH072,6
Suspect:S00028,2
Phone:9277851678,2
Vehicle:TN77AB6310,2
Bank:AC75579548,2
Suspect:S03952,4
Family:FG0968,2
Safehouse:SH266,2
Suspect:S02285,6
Family:FG0904,2
Safehouse:SH086,2
Suspect:S00383,2
Gang:G032,1
Phone:8498098234,2
Vehicle:DL93AB5480,2
Bank:AC48626436,2
Suspect:S01408,2
Family:FG0955,0
Safehouse:SH021,2
Suspect:S02979,7
Family:FG0644,0
Safehouse:SH280,2
Suspect:S04126,0
Phone:8641815384,0
Vehicle:TN17AB2732,0
Bank:AC24267429,0
Suspect:S01221,0
Safehouse:SH009,2
Suspect:S00273,0
Gang:G113,5
Phone:9775094726,0
Vehicle:KL06AB5059,0
Bank:AC68754920,0
Suspect:S02940,5
Family:FG0111,2
Suspect:S03117,5
Safehouse:SH030,2
Suspect:S04499,20
Family:FG0152,1
Suspect:S00447,3
Phone:7626733282,3
Vehicle:TN34AB7841,3
Bank:AC49620038,3
Suspect:S04213,8
Family:FG0203,4
Safehouse:SH103,2
Suspect:S00136,2
Gang:G073,11
Phone:7929364954,2
Vehicle:MH36AB9595,2
Bank:AC90099897,2
Suspect:S04310,11
Family:FG0857,6
Safehouse:SH027,2
Suspect:S00171,2
Gang:G049,1
Phone:9028168523,2
Vehicle:KL59AB3369,2
Bank:AC61484043,2
Suspect:S03300,7
Family:FG0767,4
Safehouse:SH284,2
Suspect:S00271,2
Gang:G039,3
Phone:9799620568,2
Vehicle:KL42AB8792,2
Bank:AC77292380,2
Family:FG0265,4
Safehouse:SH273,4
Family:FG0708,3
Safehouse:SH143,4
Suspect:S00017,2
Family:FG0669,0
Family:FG0990,4
Safehouse:SH228,2
Suspect:S00790,0
Phone:8637982876,0
Vehicle:TN50AB5203,0
Bank:AC82509424,0
Suspect:S01464,0
Safehouse:SH088,0
Suspect:S00059,2
Phone:9172758220,2
Vehicle:KA17AB6718,2
Bank:AC19233013,2
